gene	baseMean	log2FoldChange	lfcSE	svalue	significative	up
1459	4129.74041985108	-0.000188615907996143	0.00144894619283274	0.986094525196155	no	control
23654	11695.3951244647	-0.000186739468226778	0.00144882151852098	0.989124529760303	no	control
26057	12715.971931255	-0.000184977557803246	0.00144870358706867	0.989662936245614	no	control
1855	1086.44085363417	-0.0001803771997483	0.00144840387354332	0.987563570267789	no	control
4628	25592.5684336197	-0.00017949498767939	0.00144834687301657	0.992364138647813	no	control
63967	2072.15029279982	-0.000174384658998688	0.00144802802864979	0.993820512484735	no	control
55732	176.892319667989	0.000169747507863284	0.00144774443717002	0.993288767945456	no	TBCK
58477	1523.40464185564	-0.000167419719988155	0.00144760405857325	0.993637273100844	no	control
10625	8905.42640477286	0.000167094966304767	0.00144758317729292	0.979607022733968	no	TBCK
81631	3769.01299526088	-0.000165954852584299	0.00144751592797685	0.994628446457097	no	control
4267	3161.18307102079	-0.000164938840277175	0.00144745798053827	0.992163719959116	no	control
56977	6326.7342645488	-0.000161859403743165	0.00144727793999099	0.993454867776585	no	control
1809	37244.7236052754	-0.000157561236000977	0.00144703815460476	0.987511786137173	no	control
890	1766.88652898173	0.000149953351393237	0.00144662398314894	0.994917072803001	no	TBCK
55353	2762.81882960921	0.000149091815378853	0.00144657678206295	0.993206889947056	no	TBCK
7528	6012.56806398568	0.000149058149528094	0.0014465746160563	0.994364892139017	no	TBCK
6217	11496.2471867604	-0.000144085911834372	0.00144631912105797	0.993765038701229	no	control
8575	2675.41292302411	-0.000141311069657751	0.00144617733244072	0.994862055914636	no	control
7976	11188.924000896	-0.000140813138692867	0.00144615381507365	0.994499022223165	no	control
8517	1004.43445345945	-0.000137586904624017	0.00144599548201395	0.994835715732458	no	control
2970	7813.12833572526	-0.000137091347683675	0.00144597077439595	0.990739441692036	no	control
10197	1698.29078393741	-0.000135738942480063	0.00144590990224245	0.96140305472697	no	control
3320	130960.294929003	0.000135189941779235	0.00144588415652751	0.991025980558416	no	TBCK
9943	4344.11577727636	-0.000133130156215148	0.00144578223716051	0.995165660845936	no	control
124936	864.450372082672	0.000132819329292966	0.00144577009238664	0.984724741765425	no	TBCK
104472715	36942.4514217669	0.000131447696664131	0.0014457055954077	0.968452556565027	no	TBCK
2171	1366.36826182272	-0.000129909132161422	0.00144563441859235	0.988102870907998	no	control
340533	2381.49036730111	0.000129698570352592	0.00144562709251857	0.99118366141846	no	TBCK
2317	7380.38788907321	0.000129050166953875	0.00144559749936778	0.988750920135667	no	TBCK
166	5901.78017594247	-0.000128592840985031	0.00144557426102814	0.987261033315138	no	control
4725	4496.7322726481	-0.000125838794616066	0.00144545037980183	0.992402386096581	no	control
25870	1380.12233434093	-0.000125582803846845	0.00144543991348175	0.989520927825896	no	control
5830	3006.61784637142	0.000125528013983619	0.00144543665215874	0.993633896671885	no	TBCK
10985	5899.15564634609	-0.000120370655600222	0.00144521445374292	0.982217631601066	no	control
84162	15933.7709841367	0.000119626208444555	0.00144518354625334	0.994724225167373	no	TBCK
51155	5887.68943963483	0.00011223906534991	0.00144488323419591	0.992635173797941	no	TBCK
23544	2489.79719134274	0.000110564555021903	0.00144482088389225	0.989044171366668	no	TBCK
780	13534.7646960362	-0.000110527714369704	0.00144481606055755	0.994405504668116	no	control
5931	4742.80989069561	-0.000108954142242119	0.00144475630364856	0.993677815556533	no	control
57669	4646.46241519509	0.000108824958666036	0.00144475110726816	0.99359060877709	no	TBCK
1384	823.805606833414	-0.000108541469862251	0.00144474111652864	0.985621817837384	no	control
3178	141437.860184787	0.000108192524950529	0.00144472706383945	0.990950904759755	no	TBCK
808	18410.0492228913	-0.000107143309469588	0.0014446884238202	0.99459655409514	no	control
23032	4280.8209196101	-0.000106360883718913	0.00144465871536778	0.988632702567965	no	control
56259	3112.00045975169	0.000102579116295191	0.00144451936437746	0.99338929186011	no	TBCK
387	5258.13429064755	0.000102198271743948	0.00144450597509285	0.991609679813804	no	TBCK
1400	15031.1094425755	-0.000100322388683963	0.00144444340870393	0.985727562633735	no	control
64770	4402.62221199507	9.97277400241692e-05	0.00144441857010708	0.993987198437668	no	TBCK
54832	7635.57650933312	-9.93363486920345e-05	0.00144440486619367	0.993027793317034	no	control
3716	3850.15854466411	9.78655960909623e-05	0.00144435481353967	0.991464233124936	no	TBCK
818	3005.52585314224	9.74796014983387e-05	0.00144434238472829	0.994634125324747	no	TBCK
51322	9770.46920658365	-9.56965945576306e-05	0.00144428298814286	0.992694294641616	no	control
56951	780.353729675116	9.32439046448619e-05	0.00144420114864515	0.993449019266854	no	TBCK
55425	1493.3825007513	9.20151252830452e-05	0.00144416156126678	0.993218758690211	no	TBCK
8491	2647.05875708922	8.96548841444371e-05	0.00144408652318077	0.994813796192239	no	TBCK
5781	9243.1924952628	-8.95670839978128e-05	0.00144408299437698	0.993612635242571	no	control
10989	2355.83578702133	-8.92695800844075e-05	0.00144407457564142	0.982231997322137	no	control
10291	5399.16438998336	-8.71519408922775e-05	0.00144400993199409	0.966659182443535	no	control
3192	81591.1113595545	-8.65541641336306e-05	0.00144399094486629	0.990961441377501	no	control
10075	23119.4422771866	-8.55989510898156e-05	0.0014439614630699	0.916426247062388	no	control
22883	15043.4714439171	-8.39834176067721e-05	0.00144391416933814	0.98851597285802	no	control
1977	3741.73543200168	8.26327502743736e-05	0.00144387530976199	0.987723234171691	no	TBCK
9969	7427.15312762162	8.14089582184019e-05	0.00144384029853004	0.995169730750787	no	TBCK
9666	2409.76892795385	-8.11729645349524e-05	0.00144383508391467	0.995117546400455	no	control
26151	1402.45880214376	-8.02447202984951e-05	0.00144380776354142	0.98970888591683	no	control
9219	5596.33529830405	7.98397122740987e-05	0.00144379554883655	0.99501763362197	no	TBCK
777	3033.06188225561	-7.91509493367587e-05	0.0014437783637178	0.994400757133041	no	control
23020	28313.9249540347	-7.72186221873366e-05	0.00144372488356986	0.988621921375367	no	control
8202	3101.04862277919	-7.68075896105426e-05	0.00144371355075237	0.994643490993323	no	control
1266	6737.01711162651	7.6517592131175e-05	0.00144370635817134	0.984889161125788	no	TBCK
79776	15709.6369580249	7.52828746239921e-05	0.00144367514925969	0.994501085261751	no	TBCK
3992	11023.4847771733	-7.42360715287408e-05	0.00144364517818678	0.991869696513555	no	control
5590	1088.51481975164	7.38125911986686e-05	0.00144363546266255	0.993337896007245	no	TBCK
5455	12829.6093299396	-7.37989170281295e-05	0.00144363515073844	0.992972095867897	no	control
811	19634.1365127166	7.10847293537412e-05	0.00144356609712062	0.994607153416899	no	TBCK
5064	4596.91195050289	-7.1003472668836e-05	0.00144356406925079	0.992547413119755	no	control
10189	2218.85552347028	-7.04806335563228e-05	0.00144355114795748	0.93748794131289	no	control
6835	445.389887976068	-6.98491592557736e-05	0.00144353852963484	0.994159897508918	no	control
27327	17116.8532427512	6.97380195818989e-05	0.00144353452697109	0.990074241753404	no	TBCK
6046	18546.1724343051	-6.96369053984435e-05	0.00144353161662422	0.993713055936708	no	control
57563	1586.03238883639	-6.83945911937894e-05	0.00144350226521649	0.993564352309754	no	control
114908	4127.87038803059	-6.81060078731136e-05	0.00144349479692111	0.983774381422785	no	control
6256	2344.6357927379	6.80620400334123e-05	0.00144349219141433	0.993773863841071	no	TBCK
9989	3014.60729406955	-6.75552802933409e-05	0.00144348031258028	0.99517273453969	no	control
92181	2301.61970812255	-6.72479237093877e-05	0.00144347741557843	0.995017445501662	no	control
283131	25229.8870502156	6.71745792046617e-05	0.00144347699176664	0.99019955767631	no	TBCK
23248	3430.80129774627	-6.6972463748607e-05	0.001443467155483	0.988823328882147	no	control
8731	6969.46551724599	6.68604585537863e-05	0.0014434665382535	0.994887732697149	no	TBCK
8880	20446.0296617134	6.66333956192511e-05	0.00144345948871579	0.99491315411732	no	TBCK
29094	1365.40160032956	-6.56591499809855e-05	0.00144343664079303	0.990688473335557	no	control
2195	24142.4065233266	6.56197043858754e-05	0.00144343706115362	0.988149878242772	no	TBCK
5393	1373.47221400433	-6.55280479072032e-05	0.00144343346464916	0.992899491208583	no	control
5226	8120.42396131588	-6.52501469105407e-05	0.00144342906995302	0.992829269364316	no	control
57498	30556.1956723897	6.5000084739022e-05	0.00144342255186342	0.993546412564139	no	TBCK
79570	662.534218594478	6.37414328149298e-05	0.00144339516123712	0.994463712204712	no	TBCK
25766	1631.23547329427	-6.29149926537007e-05	0.00144337510639327	0.989449715710866	no	control
10160	10668.8334077436	6.28738696146902e-05	0.00144337464233773	0.936464633659851	no	TBCK
4967	1892.48565090638	6.18617613802263e-05	0.00144335544590614	0.992494428626522	no	TBCK
6117	2746.73795667562	-6.17641988033219e-05	0.0014433512455816	0.993736332072883	no	control
10376	25911.5939907401	-6.1701581945778e-05	0.00144335065931533	0.967600550972627	no	control
57062	13537.2423418883	6.15780473207971e-05	0.00144334677035391	0.993471704962477	no	TBCK
9240	8200.62725430238	-6.05480287404075e-05	0.0014433260112727	0.995025521867895	no	control
26278	7480.89769771913	-6.01006014500251e-05	0.00144331590025755	0.989775069278747	no	control
9774	15906.1827343035	5.92050195197936e-05	0.00144329658009688	0.995137157538103	no	TBCK
56063	231.999774072572	5.86156159252083e-05	0.00144328786413642	0.993359352058751	no	TBCK
7267	32812.628512153	5.83347144067393e-05	0.001443278554844	0.994247975072422	no	TBCK
128977	1621.3903738495	5.83225007722002e-05	0.00144327828547688	0.985119197576851	no	TBCK
26575	1306.75848137891	-5.8089770974265e-05	0.00144327395213378	0.989843534527169	no	control
11190	11112.386579789	5.76534341660716e-05	0.00144326523710082	0.982783697861906	no	TBCK
6640	346.669951839756	-5.76183337982681e-05	0.00144326537289608	0.994106165435976	no	control
84733	2795.09122779364	5.682271987983e-05	0.00144324908120968	0.994792306397455	no	TBCK
26207	1474.51278040134	-5.67563306405036e-05	0.00144324730697057	0.98973210738496	no	control
3785	7241.18261343054	-5.61823601879142e-05	0.00144323752016709	0.991558152770695	no	control
23164	26327.509963907	-5.55898828257848e-05	0.00144322391534347	0.988745163676888	no	control
1487	4459.54597606512	-5.5324432941882e-05	0.00144321989338326	0.986361827626241	no	control
80218	3121.43614710188	-5.49878481448322e-05	0.00144321400560593	0.994566966285623	no	control
23506	1007.30238888532	5.49456247649122e-05	0.00144321439805825	0.989011328512908	no	TBCK
10847	6862.66077870236	-5.46423813444045e-05	0.00144320687990285	0.98183579409656	no	control
1974	51212.5389371514	5.42292547247377e-05	0.00144320042731664	0.987719806822214	no	TBCK
2622	746.619432158888	5.41539262357571e-05	0.00144319736873369	0.989735302124417	no	TBCK
3091	4146.66720728191	5.41525661574121e-05	0.00144319674727371	0.990895339044536	no	TBCK
10130	8787.75316031431	5.32533898946114e-05	0.00144318041419801	0.934993617788921	no	TBCK
6138	26284.2498081572	5.30377514814492e-05	0.00144317799637297	0.993743755943275	no	TBCK
